avg_train_accuracy,avg_val_accuracy
0.48913649320602415,0.6011142134666443
0.8480849504470825,0.603342616558075
0.9704039096832275,0.6027855157852173
0.9915390014648438,0.6029247879981995
0.9939414978027343,0.6019498586654664
0.9946378707885742,0.5997214555740357
0.9946378946304322,0.5972144842147827
0.9947771668434143,0.5924791097640991
0.9948119878768921,0.5961002945899964
0.994672691822052,0.5959609985351563
0.9944986224174499,0.5977715849876404
0.9950209021568298,0.5990250587463379
0.9949164271354676,0.5909470677375793
0.9949164390563965,0.5942897081375123
0.9948816061019897,0.588161563873291
0.9949164390563965,0.5924791097640991
0.9949512481689453,0.5903899669647217
0.9948467969894409,0.5928969383239746
0.9948816061019897,0.5885793924331665
0.994672703742981,0.5901114344596863
